date,property_id,gas_usage_kwh,electricity_usage_kwh,infrared_usage_kwh,temperature,gas_cost,electricity_cost,infrared_cost,carbon_emissions_gas,carbon_emissions_electricity,carbon_emissions_infra
01/01/2024,1,28.75,19.69,12.53,18.39,1.44,2.95,1,5.29,4.59,1.25
01/01/2024 01:00,1,24.95,19.3,14.37,16.45,1.25,2.9,1.15,4.59,4.5,1.44
01/01/2024 02:00,1,29.5,21.25,15.94,17.38,1.48,3.19,1.28,5.43,4.95,1.59
01/01/2024 03:00,1,29.69,21.08,14.59,17.65,1.48,3.16,1.17,5.46,4.91,1.46
01/01/2024 04:00,1,30.05,23.64,16.3,17.42,1.5,3.55,1.3,5.53,5.51,1.63
01/01/2024 05:00,1,29.74,25.33,15.56,16.91,1.49,3.8,1.24,5.47,5.9,1.56
01/01/2024 06:00,1,33.16,21.88,17.5,18.53,1.66,3.28,1.4,6.1,5.1,1.75
01/01/2024 07:00,1,29.53,23.7,14.63,16.92,1.48,3.55,1.17,5.43,5.52,1.46
01/01/2024 08:00,1,30.84,21.18,14.18,19.04,1.54,3.18,1.13,5.67,4.93,1.42
01/01/2024 09:00,1,31.88,22.99,14.07,16.95,1.59,3.45,1.13,5.87,5.36,1.41
01/01/2024 10:00,1,30.39,24.73,12.96,18.32,1.52,3.71,1.04,5.59,5.76,1.3
01/01/2024 11:00,1,28.99,20.37,14.12,19.3,1.45,3.06,1.13,5.33,4.75,1.41
01/01/2024 12:00,1,26.59,21.74,14.92,15.63,1.33,3.26,1.19,4.89,5.07,1.49
01/01/2024 13:00,1,24.92,21.03,13.92,16.74,1.25,3.15,1.11,4.59,4.9,1.39
01/01/2024 14:00,1,25.74,18.26,12.13,16.88,1.29,2.74,0.97,4.74,4.25,1.21
01/01/2024 15:00,1,27.52,21.48,13.14,17.65,1.38,3.22,1.05,5.06,5,1.31
01/01/2024 16:00,1,25.06,20.24,12.72,16.73,1.25,3.04,1.02,4.61,4.72,1.27
01/01/2024 17:00,1,25.23,18.21,13.49,14.36,1.26,2.73,1.08,4.64,4.24,1.35
01/01/2024 18:00,1,25.43,18.04,12.77,14.58,1.27,2.71,1.02,4.68,4.2,1.28
01/01/2024 19:00,1,27.36,18.76,13.96,18.34,1.37,2.81,1.12,5.03,4.37,1.4
01/01/2024 20:00,1,24.78,19.15,12.04,16.71,1.24,2.87,0.96,4.56,4.46,1.2
01/01/2024 21:00,1,25.3,19.55,13.98,15.24,1.27,2.93,1.12,4.66,4.56,1.4
